Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00       80     0.00     0.00  std::optional<Piece>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*>(__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*)
  0.00      0.14     0.00       80     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::vector(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const&)
  0.00      0.14     0.00       80     0.00     0.00  void std::_Construct<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const&>(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const&)
  0.00      0.14     0.00       80     0.00     0.00  std::optional<Piece>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*>(__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*)
  0.00      0.14     0.00       80     0.00     0.00  std::optional<Piece>* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*, std::optional<Piece> >(__gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >, std::optional<Piece>*, std::allocator<std::optional<Piece> >&)
  0.00      0.14     0.00       80     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const& std::forward<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const&>(std::remove_reference<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const&>::type&)
  0.00      0.14     0.00       80     0.00     0.00  void std::_Destroy<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >*)
  0.00      0.14     0.00       78     0.00     0.00  __gnu_cxx::new_allocator<Coords>::~new_allocator()
  0.00      0.14     0.00       78     0.00     0.00  std::allocator<Coords>::~allocator()
  0.00      0.14     0.00       78     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.14     0.00       77     0.00     0.00  __gnu_cxx::new_allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::~new_allocator()
  0.00      0.14     0.00       77     0.00     0.00  std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::~allocator()
  0.00      0.14     0.00       76     0.00     0.00  __gnu_cxx::new_allocator<Coords>::new_allocator(__gnu_cxx::new_allocator<Coords> const&)
  0.00      0.14     0.00       76     0.00     0.00  __gnu_cxx::new_allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::new_allocator(__gnu_cxx::new_allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > const&)
  0.00      0.14     0.00       76     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > >::operator++()
  0.00      0.14     0.00       76     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > >::operator*() const
  0.00      0.14     0.00       76     0.00     0.00  std::allocator<Coords>::allocator(std::allocator<Coords> const&)
